Pathway,ID,Status,CellLine,Genes,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ESC V6.5 UP EARLY.V1 DN,Neg,BENIGN,OVSAHO,LOX,LOX.3,1.24357996128675e-5,-0.606857050501272,1,1,0.149005750961379
ESC V6.5 UP EARLY.V1 DN,Neg,BENIGN,OVSAHO,CALD1,CALD1.1,6.38523083462682e-6,-0.948771297361261,1,1,0.0765078358604985
ESC V6.5 UP EARLY.V1 DN,Neg,BENIGN,OVSAHO,SERPINF1,SERPINF1.3,1.10715686116296e-5,-0.865101434700704,1,1,0.132659535104546
ESC V6.5 UP EARLY.V1 DN,Neg,BENIGN,OVSAHO,CAV1,CAV1.2,2.72712813848118e-6,-1.61440039809902,1,1,0.0326764493552815
ESC V6.5 UP EARLY.V1 DN,Neg,BENIGN,OVSAHO,TGFB1I1,TGFB1I1.3,1.17928137023701e-6,-0.822289188383336,1,1,0.0141301493781798
ESC V6.5 UP EARLY.V1 DN,Neg,BENIGN,OVSAHO,TIMP2,TIMP2.2,1.87647053074851e-6,-0.438545715670629,1,1,0.022483869899428702
ESC V6.5 UP EARLY.V1 DN,Neg,BENIGN,OVSAHO,FBLN2,FBLN2.1,9.12145358966991e-7,-1.35250502746759,1,1,0.0109293256911425
ESC V6.5 UP EARLY.V1 DN,Neg,BENIGN,OVSAHO,CD44,CD44.1,2.40908683430109e-6,-0.645745553256017,1,1,0.0288656784485956
CAMP UP.V1 UP,Pos,BENIGN,OVSAHO,MAGOH,MAGOH.1,1.65456548419493e-6,0.532083288682629,1,1,0.0198250036316236
CAMP UP.V1 UP,Pos,BENIGN,OVSAHO,ILF2,ILF2.1,9.9395779263322e-7,0.557134928698892,1,1,0.0119096022713312
RPS14 DN.V1 DN,Pos,BENIGN,OVSAHO,USP5,USP5.1,2.12464217472197e-7,0.742609504656027,1,1,0.00254574625375186
RPS14 DN.V1 DN,Pos,BENIGN,OVSAHO,NUP155,NUP155.1,3.08525152991723e-6,0.379358045605227,1,1,0.0369674838314682
RPS14 DN.V1 DN,Pos,BENIGN,OVSAHO,MRTO4,MRTO4.1,2.21718243477694e-6,0.543277436890643,1,1,0.0265662799334973
STK33 NOMO DN,Pos,BENIGN,OVSAHO,NEDD4,NEDD4.1,6.45139535738618e-7,0.122416461759504,1,1,0.00773006191722012
STK33 NOMO DN,Pos,BENIGN,OVSAHO,DSG2,DSG2.2,9.9395779263322e-7,0.758437224738121,1,1,0.0119096022713312
CSR LATE UP.V1 UP,Pos,BENIGN,OVSAHO,YEATS4,YEATS4.1,3.34861372941241e-6,0.659073429236535,1,1,0.0401230897058195
CSR LATE UP.V1 UP,Pos,BENIGN,OVSAHO,ILF2,ILF2.1,9.9395779263322e-7,0.557134928698892,1,1,0.0119096022713312
BCAT BILD ET AL UP,Pos,BENIGN,OVSAHO,CD2BP2,CD2BP2.1,1.54479016307704e-7,0.6274248718767,1,1,0.0018509675733989
AKT UP MTOR DN.V1 DN,Pos,BENIGN,OVSAHO,ZC3HC1,ZC3HC1.1,1.39762087500824e-6,0.574461548211496,1,1,0.0167462933243487
AKT UP MTOR DN.V1 DN,Pos,BENIGN,OVSAHO,LANCL2,LANCL2.1,4.96124458021994e-7,0.681641347784096,1,1,0.00594456325601953
AKT UP MTOR DN.V1 DN,Pos,BENIGN,OVSAHO,UTP20,UTP20.1,9.9395779263322e-7,0.64505613356775,1,1,0.0119096022713312
E2F1 UP.V1 UP,Pos,BENIGN,OVSAHO,PARP1,PARP1.1,1.72557182656642e-6,0.655225783947635,1,1,0.0206758016259188
E2F1 UP.V1 UP,Pos,BENIGN,OVSAHO,NOLC1,NOLC1.1,3.34861372941241e-6,0.688571282846121,1,1,0.0401230897058195
E2F1 UP.V1 UP,Pos,BENIGN,OVSAHO,WBP11,WBP11.1,3.18487874037042e-7,0.621519877905323,1,1,0.00381612170671184
E2F1 UP.V1 UP,Pos,BENIGN,OVSAHO,LMNB1,LMNB1.1,2.40908683430109e-6,0.448940159482743,1,1,0.0288656784485956
VEGF A UP.V1 DN,Pos,BENIGN,OVSAHO,NUP155,NUP155.1,3.08525152991723e-6,0.379358045605227,1,1,0.0369674838314682
VEGF A UP.V1 DN,Pos,BENIGN,OVSAHO,LMNB1,LMNB1.1,2.40908683430109e-6,0.448940159482743,1,1,0.0288656784485956
