Pathway,ID,Status,CellLine,Genes,X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RAF UP.V1 UP,Pos,NO_BENIGN,CAOV3,TBC1D8,TBC1D8,5.69667215475515e-4,0.77517962480571,1,1,1
RAF UP.V1 UP,Pos,NO_BENIGN,CAOV3,VTCN1,VTCN1,4.78836354688089e-6,1.03157460445072,1,1,0.0573741720187269
RAF UP.V1 UP,Pos,NO_BENIGN,CAOV3,ITGB6,ITGB6,2.00230454781459e-4,0.758705513030928,1,1,1
RB DN.V1 DN,Pos,NO_BENIGN,CAOV3,HSPA5,HSPA5,2.74774389493229e-6,0.405526453793725,1,1,0.0329234673490787
RB DN.V1 DN,Pos,NO_BENIGN,CAOV3,PSME2,PSME2,1.64757575378474e-5,0.506682067680813,1,1,0.197412526818487
CAMP UP.V1 UP,Pos,NO_BENIGN,CAOV3,PDIA3,PDIA3,1.39973592756119e-5,0.461633994846525,1,1,0.167716358840382
CAMP UP.V1 UP,Pos,NO_BENIGN,CAOV3,SLC35A4,SLC35A4,7.18022105692334e-5,0.366219631789824,1,1,0.860334087040554
CAMP UP.V1 UP,Pos,NO_BENIGN,CAOV3,HSPA5,HSPA5,2.74774389493229e-6,0.405526453793725,1,1,0.0329234673490787
CAMP UP.V1 UP,Pos,NO_BENIGN,CAOV3,MDH2,MDH2,2.84586259999369e-6,0.506498319065047,1,1,0.0340991256731244
CAMP UP.V1 UP,Pos,NO_BENIGN,CAOV3,PDE4DIP,PDE4DIP,1.46003156749054e-4,0.349858502248462,1,1,1
AKT UP.V1 UP,Pos,NO_BENIGN,CAOV3,GAK,GAK,1.00654767562709e-5,0.380368613498885,1,1,0.120604542493638
AKT UP.V1 UP,Pos,NO_BENIGN,CAOV3,PAK1,PAK1,7.96719208791811e-6,0.3570210678419,1,1,0.0954628955974348
AKT UP.V1 UP,Pos,NO_BENIGN,CAOV3,GIPC1,GIPC1,1.04564296956151e-6,0.537679077709581,1,1,0.012528894061286
AKT UP.V1 UP,Pos,NO_BENIGN,CAOV3,TMPRSS4,TMPRSS4,5.25876100209091e-4,1.09920806010653,1,1,1
AKT UP.V1 UP,Pos,NO_BENIGN,CAOV3,TACSTD2,TACSTD2,6.17129970831787e-5,0.731884721005425,1,1,0.739445131050647
AKT UP MTOR DN.V1 UP,Pos,NO_BENIGN,CAOV3,GAK,GAK,1.00654767562709e-5,0.380368613498885,1,1,0.120604542493638
AKT UP MTOR DN.V1 UP,Pos,NO_BENIGN,CAOV3,PAK1,PAK1,7.96719208791811e-6,0.3570210678419,1,1,0.0954628955974348
AKT UP MTOR DN.V1 UP,Pos,NO_BENIGN,CAOV3,GIPC1,GIPC1,1.04564296956151e-6,0.537679077709581,1,1,0.012528894061286
AKT UP MTOR DN.V1 UP,Pos,NO_BENIGN,CAOV3,TMPRSS4,TMPRSS4,5.25876100209091e-4,1.09920806010653,1,1,1
AKT UP MTOR DN.V1 UP,Pos,NO_BENIGN,CAOV3,TACSTD2,TACSTD2,6.17129970831787e-5,0.731884721005425,1,1,0.739445131050647
EGFR UP.V1 UP,Pos,NO_BENIGN,CAOV3,SGMS1,SGMS1,2.30390017756367e-6,0.963633917106768,1,1,0.0276053319275679
EGFR UP.V1 UP,Pos,NO_BENIGN,CAOV3,TBC1D8,TBC1D8,5.69667215475515e-4,0.77517962480571,1,1,1
EGFR UP.V1 UP,Pos,NO_BENIGN,CAOV3,TAP1,TAP1,7.51642794871786e-7,0.578506170008874,1,1,0.00900618396815374
EGFR UP.V1 UP,Pos,NO_BENIGN,CAOV3,ITGB6,ITGB6,2.00230454781459e-4,0.758705513030928,1,1,1
CYCLIN D1 KE .V1 UP,Neg,BENIGN,CAOV3,SMTN,SMTN,2.80694848192448e-4,-1.11125289454981,1,1,1
CYCLIN D1 KE .V1 UP,Neg,BENIGN,CAOV3,DTNA,DTNA,8.88958426805849e-4,-0.525416730834196,1,1,1
CYCLIN D1 KE .V1 UP,Neg,BENIGN,CAOV3,HSPG2,HSPG2,1.26229748063392e-4,-0.526696731219461,1,1,1
VEGF A UP.V1 DN,Neg,BENIGN,CAOV3,CPA3,CPA3,6.36167715744004e-5,-1.9114094616874,1,1,0.762256157004466
VEGF A UP.V1 DN,Neg,BENIGN,CAOV3,CACNA2D1,CACNA2D1,2.50999447793719e-4,-0.509087403439828,1,1,1
VEGF A UP.V1 DN,Neg,BENIGN,CAOV3,MEST,MEST,3.65416486754828e-5,-0.430613129333958,1,1,0.437842034429635
MEK UP.V1 UP,Neg,BENIGN,CAOV3,FHL1,FHL1,7.18022105692334e-5,-1.71453362097035,1,1,0.860334087040554
MEK UP.V1 UP,Neg,BENIGN,CAOV3,APOD,APOD,5.5470628610588e-4,-0.726400483692313,1,1,1
MEK UP.V1 UP,Neg,BENIGN,CAOV3,LAMC1,LAMC1,2.58133887515309e-4,-0.594954189565807,1,1,1
MEK UP.V1 UP,Neg,BENIGN,CAOV3,FERMT2,FERMT2,0.00130122462439141,-0.420588156260154,1,1,1
RAF UP.V1 UP,Neg,BENIGN,CAOV3,PARVA,PARVA,7.6097027856223e-4,-0.362388470110062,1,1,1
RAF UP.V1 UP,Neg,BENIGN,CAOV3,LAMC1,LAMC1,2.58133887515309e-4,-0.594954189565807,1,1,1
RAF UP.V1 UP,Neg,BENIGN,CAOV3,MAPRE2,MAPRE2,8.59698441014857e-5,-0.242426109526475,1,1,1
RAF UP.V1 UP,Neg,BENIGN,CAOV3,FERMT2,FERMT2,0.00130122462439141,-0.420588156260154,1,1,1
RB DN.V1 DN,Neg,BENIGN,CAOV3,CAV1,CAV1,0.00140242397770385,-1.3054508543237,1,1,1
RB DN.V1 DN,Neg,BENIGN,CAOV3,FHL1,FHL1,7.18022105692334e-5,-1.71453362097035,1,1,0.860334087040554
RB DN.V1 DN,Neg,BENIGN,CAOV3,ANXA6,ANXA6,1.37767233463025e-4,-0.457344396740989,1,1,1
RB P107 DN.V1 UP,Neg,BENIGN,CAOV3,GSTM2,GSTM2,0.00143773792260348,-0.650118754246207,1,1,1
RB P107 DN.V1 UP,Neg,BENIGN,CAOV3,COL16A1,COL16A1,4.01528749885045e-4,-0.533061639248212,1,1,1
RB P107 DN.V1 UP,Neg,BENIGN,CAOV3,COL6A2,COL6A2,2.75292117406489e-5,-0.678226118591594,1,1,0.329855015076455
RB P107 DN.V1 UP,Neg,BENIGN,CAOV3,COL6A1,COL6A1,2.75292117406489e-5,-0.729496230449945,1,1,0.329855015076455
RB P107 DN.V1 UP,Neg,BENIGN,CAOV3,BGN,BGN,1.73580215850016e-4,-0.843240775380491,1,1,1
ERB2 UP.V1 UP,Pos,BENIGN,CAOV3,MUC1,MUC1,1.18770666974195e-5,0.873280060178193,1,1,0.14231101316848
ERB2 UP.V1 UP,Pos,BENIGN,CAOV3,VTCN1,VTCN1,4.78836354688089e-6,1.03157460445072,1,1,0.0573741720187269
RB DN.V1 DN,Pos,BENIGN,CAOV3,HSPA5,HSPA5,2.74774389493229e-6,0.405526453793725,1,1,0.0329234673490787
RB DN.V1 DN,Pos,BENIGN,CAOV3,PSME2,PSME2,1.64757575378474e-5,0.506682067680813,1,1,0.197412526818487
RB DN.V1 DN,Pos,BENIGN,CAOV3,LAMTOR3,LAMTOR3,3.12372181890901e-5,0.371889953641389,1,1,0.374284348341678
CAMP UP.V1 UP,Pos,BENIGN,CAOV3,PDIA3,PDIA3,1.39973592756119e-5,0.461633994846525,1,1,0.167716358840382
CAMP UP.V1 UP,Pos,BENIGN,CAOV3,HSPA5,HSPA5,2.74774389493229e-6,0.405526453793725,1,1,0.0329234673490787
CAMP UP.V1 UP,Pos,BENIGN,CAOV3,MDH2,MDH2,2.84586259999369e-6,0.506498319065047,1,1,0.0340991256731244
AKT UP.V1 UP,Pos,BENIGN,CAOV3,GAK,GAK,1.00654767562709e-5,0.380368613498885,1,1,0.120604542493638
AKT UP.V1 UP,Pos,BENIGN,CAOV3,PAK1,PAK1,7.96719208791811e-6,0.3570210678419,1,1,0.0954628955974348
AKT UP.V1 UP,Pos,BENIGN,CAOV3,GIPC1,GIPC1,1.04564296956151e-6,0.537679077709581,1,1,0.012528894061286
AKT UP MTOR DN.V1 UP,Pos,BENIGN,CAOV3,GAK,GAK,1.00654767562709e-5,0.380368613498885,1,1,0.120604542493638
AKT UP MTOR DN.V1 UP,Pos,BENIGN,CAOV3,PAK1,PAK1,7.96719208791811e-6,0.3570210678419,1,1,0.0954628955974348
AKT UP MTOR DN.V1 UP,Pos,BENIGN,CAOV3,GIPC1,GIPC1,1.04564296956151e-6,0.537679077709581,1,1,0.012528894061286
SIRNA EIF4GI DN,Pos,BENIGN,CAOV3,RAB1A,RAB1A,2.34807978982151e-5,0.308142991495067,1,1,0.281346920416414
SIRNA EIF4GI DN,Pos,BENIGN,CAOV3,HSD17B12,HSD17B12,1.07559520827284e-5,0.417782038816757,1,1,0.128877817855252
CSR LATE UP.V1 UP,Neg,NO_BENIGN,OVSAHO,TPM2,TPM2.3,1.17928137023701e-6,-1.8363894091945001,1,1,0.0141301493781798
CSR LATE UP.V1 UP,Neg,NO_BENIGN,OVSAHO,TIMP3,TIMP3.2,9.52206033287618e-7,-1.77716527910587,1,1,0.0114093326908522
CSR LATE UP.V1 UP,Neg,NO_BENIGN,OVSAHO,PDLIM5,PDLIM5.1,4.4508014107396e-6,-0.634841783147896,1,1,0.0533295025034819
CAMP UP.V1 DN,Neg,NO_BENIGN,OVSAHO,CAMK2D,CAMK2D.1,1.75576643861425e-5,-0.346289741424707,1,1,0.210375934674759
CAMP UP.V1 DN,Neg,NO_BENIGN,OVSAHO,RAB31,RAB31.1,8.75619086741672e-5,-0.389114464787021,1,1,1
CAMP UP.V1 DN,Neg,NO_BENIGN,OVSAHO,PALLD,PALLD.1,2.22300126847303e-7,-0.973104737834405,1,1,0.00266360011988438
CAMP UP.V1 DN,Neg,NO_BENIGN,OVSAHO,EPB41L3,EPB41L3.1,3.33025375627745e-7,-0.537019064798342,1,1,0.00399031005077164
CAMP UP.V1 DN,Neg,NO_BENIGN,OVSAHO,TIMP2,TIMP2.2,1.87647053074851e-6,-0.438545715670629,1,1,0.022483869899428702
CAMP UP.V1 DN,Neg,NO_BENIGN,OVSAHO,PLS3,PLS3.1,6.45139535738618e-7,-0.851218497493935,1,1,0.00773006191722012
RB P107 DN.V1 UP,Neg,NO_BENIGN,OVSAHO,TAGLN,TAGLN.3,1.13005567942472e-6,-1.5374295632881,1,1,0.013540327150867
RB P107 DN.V1 UP,Neg,NO_BENIGN,OVSAHO,TMEM119,TMEM119.2,1.33964939891888e-6,-0.659122206720598,1,1,0.016051679097846
RB P107 DN.V1 UP,Neg,NO_BENIGN,OVSAHO,CD248,CD248.2,7.71465192097208e-8,-0.650981230975444,1,1,9.24369593170875e-4
RB P107 DN.V1 UP,Neg,NO_BENIGN,OVSAHO,FBLN2,FBLN2.1,9.12145358966991e-7,-1.35250502746759,1,1,0.0109293256911425
EGFR UP.V1 UP,Neg,NO_BENIGN,OVSAHO,COTL1,COTL1.2,1.68278301081527e-4,-0.578468867011948,1,1,1
EGFR UP.V1 UP,Neg,NO_BENIGN,OVSAHO,GLRX,GLRX.1,4.95636074034279e-5,-0.498081753440435,1,1,0.593871143907873
